mu,M1,br_chi2_Zchi1,br_chi2_hchi1,br_chi3_Zchi1,br_chi3_hchi1
2300.0,825.0,0.147672699,0.852327301,0.841122709,0.158877291
2300.0,925.0,0.124023708,0.875976292,0.8665041,0.1334959
2300.0,1025.0,0.102933702,0.897066298,0.889241524,0.110758476
2300.0,1125.0,0.0843069742,0.915693026,0.909402743,0.0905972573
2300.0,1225.0,0.068022051,0.931977949,0.927089155,0.0729108448
2300.0,1325.0,0.0539393323,0.946060668,0.94242751,0.0575724903
2300.0,1425.0,0.0419077926,0.958092207,0.955562305,0.0444376952
2300.0,1525.0,0.0317706711,0.968229329,0.966649132,0.0333508676
2300.0,1625.0,0.0233701613,0.976629839,0.975849052,0.0241509481
2300.0,1725.0,0.983324068,0.0166759318,0.0165511677,0.983448832
2300.0,1825.0,0.989233825,0.0107661755,0.0111645186,0.988835481
2300.0,1925.0,0.993733721,0.00626627881,0.00707036785,0.992929632
2300.0,2025.0,0.996976601,0.00302339867,0.00414633744,0.995853663
2300.0,2125.0,0.999134833,0.000865167302,0.00235184832,0.997648152
2400.0,25.0,0.425731785,0.574268215,0.55145914,0.44854086
2400.0,125.0,0.38571903,0.61428097,0.592157809,0.407842191
2400.0,225.0,0.346908112,0.653091888,0.631888527,0.368111473
2400.0,325.0,0.309763781,0.690236219,0.670211452,0.329788548
2400.0,425.0,0.274550122,0.725449878,0.706814644,0.293185356
2400.0,525.0,0.241473609,0.758526391,0.741439776,0.258560224
2400.0,625.0,0.210683015,0.789316985,0.773885627,0.226114373
2400.0,725.0,0.182271522,0.817728478,0.804008204,0.195991796
2400.0,825.0,0.156281359,0.843718641,0.831718731,0.168281269
2400.0,925.0,0.132709465,0.867290535,0.856979193,0.143020807
2400.0,1025.0,0.111514246,0.888485754,0.879796646,0.120203354
2400.0,1125.0,0.0926226176,0.907377382,0.900216646,0.0997833545
2400.0,1225.0,0.0759367911,0.924063209,0.918316171,0.0816838285
2400.0,1325.0,0.0613408143,0.938659186,0.93419685,0.0658031503
2400.0,1425.0,0.0487063072,0.951293693,0.947978434,0.052021566
2400.0,1525.0,0.0378975262,0.962102474,0.959793018,0.0402069819
2400.0,1625.0,0.0287755988,0.971224401,0.969779989,0.0302200112
2400.0,1725.0,0.02120199,0.97879801,0.97808181,0.0219181902
2400.0,1825.0,0.984840693,0.0151593071,0.015041331,0.984958669
2400.0,1925.0,0.990196138,0.00980386234,0.010163825,0.989836175
2400.0,2025.0,0.994283714,0.00571628594,0.00644803075,0.993551969
2400.0,2125.0,0.99723693,0.0027630695,0.00378806678,0.996211933
2400.0,2225.0,0.999207699,0.000792300847,0.00215241771,0.997847582
2500.0,25.0,0.426030363,0.573969637,0.550951472,0.449048528
2500.0,125.0,0.387585962,0.612414038,0.590049151,0.409950849
2500.0,225.0,0.350224256,0.649775744,0.628279686,0.371720314
2500.0,325.0,0.314374848,0.685625152,0.665240517,0.334759483
2500.0,425.0,0.280276856,0.719723144,0.700650573,0.299349427
2500.0,525.0,0.248120758,0.751879242,0.734273916,0.265726084
2500.0,625.0,0.218047672,0.781952328,0.765922698,0.234077302
2500.0,725.0,0.190151021,0.809848979,0.79545798,0.20454202
2500.0,825.0,0.16447978,0.83552022,0.822788347,0.177211653
2500.0,925.0,0.141042938,0.858957062,0.847866762,0.152133238
2500.0,1025.0,0.119814837,0.880185163,0.870686221,0.129313779
2500.0,1125.0,0.100740834,0.899259166,0.89127454,0.10872546
2500.0,1225.0,0.0837429773,0.916257023,0.909688704,0.0903112959
2500.0,1325.0,0.068725466,0.931274534,0.926009202,0.0739907975
2500.0,1425.0,0.0555796149,0.944420385,0.940334551,0.0596654494
2500.0,1525.0,0.0441883321,0.955811668,0.952776288,0.0472237123
2500.0,1625.0,0.0344298803,0.96557012,0.963454475,0.0365455246
2500.0,1725.0,0.0261810982,0.973818902,0.972493876,0.027506124
2500.0,1825.0,0.0193199988,0.980680001,0.98002077,0.01997923
2500.0,1925.0,0.986160441,0.0138395588,0.013727896,0.986272104
2500.0,2025.0,0.991035378,0.00896462159,0.00929126665,0.990708733
2500.0,2125.0,0.994764488,0.00523551166,0.00590405488,0.994095945
2500.0,2225.0,0.997465049,0.00253495092,0.0034741187,0.996525881
2500.0,2325.0,0.999271713,0.000728287482,0.00197722388,0.998022776
2600.0,25.0,0.426310599,0.573689401,0.550487067,0.449512933
2600.0,125.0,0.389316836,0.610683164,0.588104066,0.411895934
2600.0,225.0,0.353301722,0.646698278,0.62494154,0.37505846
2600.0,325.0,0.318664266,0.681335734,0.660629056,0.339370944
2600.0,425.0,0.285621593,0.714378407,0.694912691,0.305087309
2600.0,525.0,0.254349317,0.745650683,0.727576577,0.272423423
2600.0,625.0,0.224980813,0.775019187,0.758445741,0.241554259
